file,,name,,tag1,tag2,tag3,tag4,,tag5,tag6,tag7,tag8,tag9
Samoa.svg,,Samoa,,oceania,,oceaniaTerritories,oceaniaAll,,,canton,star,,rwb
San_Marino.svg,,San Marino,,europe,europeDisputed,europeTerritories,europeAll,,,,,emblem,
Sao_Tome_and_Principe.svg,,São Tomé and Príncipe,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
Saudi_Arabia.svg,,Saudi Arabia,,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,
Senegal.svg,,Senegal,,africa,africaDisputed,africaTerritories,africaAll,,triband,,star,,
Serbia.svg,,Serbia,,europe,europeDisputed,europeTerritories,europeAll,,triband,,,emblem,rwb
Seychelles.svg,,Seychelles,,africa,africaDisputed,africaTerritories,africaAll,,,,,,
Sierra_Leone.svg,,Sierra Leone,,africa,africaDisputed,africaTerritories,africaAll,,triband,,,,
Singapore.svg,,Singapore,,asia,asiaDisputed,asiaTerritories,asiaAll,,,,star,,
Slovakia.svg,,Slovakia,,europe,europeDisputed,europeTerritories,europeAll,,triband,,,emblem,rwb
Slovenia.svg,,Slovenia,,europe,europeDisputed,europeTerritories,europeAll,,triband,,star,emblem,rwb
Solomon_Islands.svg,,Solomon Islands,,oceania,,oceaniaTerritories,oceaniaAll,,,,star,,
Somalia.svg,,Somalia,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
South_Africa.svg,,South Africa,,africa,africaDisputed,africaTerritories,africaAll,,,,,,
South_Korea.svg,,South Korea,,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,
South_Sudan.svg,,South Sudan,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
Spain.svg,,Spain,,europe,europeDisputed,europeTerritories,europeAll,,triband,,,emblem,
Sri_Lanka.svg,,Sri Lanka,,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,
Sudan.svg,,Sudan,,africa,africaDisputed,africaTerritories,africaAll,,,,,,
Suriname.svg,,Suriname,,sa,,saTerritories,saAll,,,,star,,
Sweden.svg,,Sweden,,europe,europeDisputed,europeTerritories,europeAll,,,,,,
Switzerland.svg,,Switzerland,,europe,europeDisputed,europeTerritories,europeAll,,,,,emblem,
Syria.svg,,Syria,,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,star,,
Tajikistan.svg,,Tajikistan,,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,star,,
Tanzania.svg,,Tanzania,,africa,africaDisputed,africaTerritories,africaAll,,,,,,
Thailand.svg,,Thailand,,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,rwb
The_Gambia.svg,,The Gambia,,africa,africaDisputed,africaTerritories,africaAll,,,,,,
Togo.svg,,Togo,,africa,africaDisputed,africaTerritories,africaAll,,,canton,star,,
Tonga.svg,,Tonga,,oceania,,oceaniaTerritories,oceaniaAll,,,canton,,,
Trinidad_and_Tobago.svg,,Trinidad and Tobago,,na,,naTerritories,naAll,,,,,,
Tunisia.svg,,Tunisia,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
